Qui est l'équivalent romain de Hera ?;Qui est l'équivalent grec de Mars ?;Qui sont les Néréides ?;Qui est la déesse de la beauté ?;De qui Oedipe est-il le fils ?;Qui sont les Naïades ?;Qui sont les Néphélées ?;Qui est la femme d'Ulysse ?;Qui sont les Sylphides ?
0;1;1;1;0;1;0;1;0
0;0;1;0;1;0;1;0;0
1;1;1;1;0;0;0;0;0
1;1;1;1;0;1;0;1;0
1;1;0;1;1;0;1;1;1
1;1;1;1;0;1;1;0;1
1;1;1;1;0;0;1;0;0
1;1;0;1;1;0;0;1;0
1;1;0;1;1;0;1;1;1
0;1;0;1;1;0;0;1;1
0;1;0;1;0;1;0;1;1
1;1;1;1;1;1;0;1;0
0;0;1;1;0;0;0;0;0
1;1;1;1;0;1;1;1;1
1;1;1;1;1;1;1;1;1
0;1;0;1;0;0;0;1;0
0;1;1;1;1;1;1;0;1
0;1;0;0;1;0;0;0;0
0;1;0;1;0;1;0;1;0
1;1;0;1;1;0;1;1;1
1;1;1;1;0;1;1;1;1
0;1;1;1;0;1;0;1;0
1;1;1;1;0;1;1;1;1
0;1;0;1;0;1;0;1;0
0;1;0;1;1;1;0;1;1
0;1;0;1;0;1;0;0;0
1;1;1;1;1;1;1;1;1
0;1;0;1;0;0;0;1;0
0;1;0;1;0;1;1;1;1
1;1;0;1;1;0;1;1;1
1;1;1;1;1;1;1;1;1
0;1;1;1;0;0;1;0;0
1;1;0;1;0;1;1;1;1
0;1;1;0;1;0;0;0;1
0;1;1;1;1;0;0;0;0
0;1;1;1;0;1;1;0;1
0;1;1;1;0;0;0;0;0
0;1;1;1;0;1;1;0;1
1;1;0;1;1;1;1;1;1
1;1;0;1;0;1;0;1;1
0;1;0;1;0;0;1;0;1
1;1;0;1;1;0;0;1;0
0;1;0;1;0;0;0;0;0
1;1;0;1;1;1;0;1;0
1;1;0;1;1;0;0;1;1
1;1;0;1;0;0;1;1;1
1;1;1;1;1;1;1;1;1
1;1;0;1;0;1;1;1;1
1;1;1;1;1;1;1;1;1
0;0;1;0;1;1;1;1;0
0;1;0;1;0;0;1;0;1
1;1;1;1;1;1;0;1;1
0;1;0;1;0;0;0;1;1
1;1;0;0;0;1;0;0;0
1;1;1;1;0;1;0;1;0
1;1;0;1;1;0;1;1;1
0;1;0;1;0;1;1;0;1
1;1;0;1;0;0;0;0;0
1;1;0;1;1;0;1;1;0
0;1;1;1;0;0;0;0;1
1;1;1;1;1;1;1;1;1
0;1;0;1;1;0;1;1;1
1;1;1;1;1;1;1;1;1
0;1;1;1;0;1;0;1;1
0;1;1;1;1;0;1;1;0
1;1;0;1;1;0;0;1;0
1;1;1;1;1;0;1;0;1
0;1;1;1;0;0;0;1;0
1;1;1;1;0;1;0;1;0
0;1;0;0;0;0;0;0;0
1;1;1;1;1;1;1;1;1
1;1;1;1;1;0;0;1;1
0;1;0;1;0;0;0;1;0
0;1;1;1;0;0;0;1;0
1;1;0;1;0;0;1;0;1
1;1;0;1;0;0;0;0;0
1;1;1;1;1;0;1;0;0
0;1;0;1;0;0;0;1;1
1;1;1;1;1;1;1;1;1
0;1;0;1;1;0;0;0;0
1;1;1;1;1;0;1;1;0
0;1;1;1;0;1;1;1;1
0;1;0;1;1;0;1;1;1
1;1;1;1;0;0;1;1;0
1;1;0;1;1;0;0;1;1
1;1;0;1;1;0;1;1;1
0;1;0;1;0;0;1;1;0
1;1;1;1;1;1;1;1;1
1;1;1;1;0;1;1;1;1
0;1;0;1;0;1;1;0;1
0;1;0;1;0;1;0;0;1
1;1;0;1;1;0;0;1;0
0;1;0;1;0;0;0;0;1
0;1;1;1;0;0;0;1;1
1;1;0;1;1;0;1;0;1
1;1;0;0;1;1;0;0;0
1;1;0;1;0;0;1;1;1
0;1;1;0;0;0;0;1;1
1;1;0;0;0;0;0;0;1
0;1;0;1;0;0;1;1;0
1;1;1;1;1;0;0;1;1
0;1;0;1;1;1;0;1;0
0;0;1;1;1;0;0;0;0
0;1;1;1;0;1;1;0;0
1;1;1;1;1;1;1;1;1
0;1;1;1;0;0;1;0;1
1;1;0;1;0;0;1;1;1
1;1;0;0;0;0;0;1;0
1;1;0;1;0;1;0;1;0
0;0;0;0;0;0;0;1;0
1;1;1;1;1;1;1;0;1
1;1;0;1;1;0;0;1;0
0;1;1;1;1;0;1;1;0
1;1;1;1;1;1;1;1;1
1;1;1;1;1;0;1;1;1
1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0;1
0;1;0;1;0;1;0;1;0
0;0;0;0;1;1;0;1;1
0;1;1;1;0;0;1;1;0
1;1;1;1;1;1;1;1;1
0;1;1;1;0;1;0;0;0
1;1;0;1;1;0;1;0;1
0;0;0;1;0;0;1;1;1
1;1;1;1;1;1;1;1;1
